id,label
jet_877,-0.008613199
jet_4950,0.37956285
jet_2484,0.37529123
jet_2288,0.70789105
jet_811,0.015302021
jet_248,0.02234061
jet_3298,0.023626983
jet_106,-0.023008995
jet_279,0.4507612
jet_1281,-0.025285408
jet_2822,0.012711486
jet_4159,0.88330615
jet_5025,0.8621141
jet_3970,0.94359446
jet_333,0.011391953
jet_3064,0.0014606193
jet_501,0.007907707
jet_2092,0.024100557
jet_3253,-0.017496321
jet_1477,-0.010061748
jet_4449,0.9923622
jet_2547,0.011049282
jet_2841,0.13252252
jet_1158,0.012668591
jet_4668,0.9413599
jet_859,0.033224266
jet_2686,0.27528936
jet_4479,0.8716101
jet_3570,0.8230907
jet_1335,0.037974313
jet_3686,0.35970896
jet_2445,-0.011054177
jet_2536,-0.0017680079
jet_2083,0.02147992
jet_1807,0.03262937
jet_2584,-0.020878673
jet_3630,0.883274
jet_4119,0.54238653
jet_296,0.014797842
jet_2100,0.035364594
jet_1784,0.0074658804
jet_2394,-0.00042862818
jet_393,0.09600433
jet_1569,0.0032733325
jet_681,0.038383827
jet_2722,0.019282334
jet_2357,0.024836307
jet_3924,0.8728762
jet_2329,0.3342021
jet_3347,1.1375431
jet_2895,0.041893795
jet_79,0.065402485
jet_742,-0.0028269254
jet_2653,0.03439323
jet_199,0.00031258166
jet_4543,0.87656647
jet_5010,0.68925035
jet_429,0.011466403
jet_3558,0.75735337
jet_4853,0.9764609
jet_179,0.0056005586
jet_65,0.21560796
jet_4281,0.89739406
jet_4860,0.53624016
jet_764,-0.0072128065
jet_2589,0.014803559
jet_5023,0.79432994
jet_4322,0.2644291
jet_881,0.009412453
jet_1168,0.020122282
jet_4506,0.4452734
jet_3040,0.43768132
jet_2170,-0.001296036
jet_3737,0.7769027
jet_1912,0.023437478
jet_29,0.14011967
jet_584,0.0053851083
jet_472,0.011951841
jet_491,0.0051409304
jet_2974,0.07339699
jet_2121,0.07050063
jet_2877,0.060132936
jet_553,0.18644251
jet_798,-0.0137771
jet_1170,-0.018638037
jet_724,0.015857734
jet_2487,0.044256
jet_1212,0.014445588
jet_1433,0.011426296
jet_3197,0.004650794
jet_1181,0.016586713
jet_23,0.864738
jet_2259,0.022327773
jet_3988,0.6213697
jet_168,0.21652167
jet_3605,0.92595345
jet_1592,0.84734845
jet_2986,0.020372137
jet_4564,0.6364269
jet_4221,0.9063268
jet_227,0.13832033
jet_1420,0.039493863
jet_4195,0.9504045
jet_2746,0.04456488
jet_1532,0.38473785
jet_3916,0.8884766
jet_4325,0.8893805
jet_842,0.040262993
jet_1305,0.019187152
jet_240,0.75256413
jet_84,0.013388135
jet_3164,0.14126946
jet_807,0.24206467
jet_4776,0.9597106
jet_2750,0.0033811275
jet_1360,0.012793135
jet_705,0.016664255
jet_3912,0.8856549
jet_927,0.044657916
jet_746,0.0399772
jet_2459,-0.011526197
jet_157,0.002022501
jet_1330,0.807155
jet_3257,0.103362
jet_1270,0.022665817
jet_4398,0.6623333
jet_2992,-0.008466601
jet_1038,0.021465972
jet_4981,0.38651323
jet_3447,0.7222936
jet_763,0.026483461
jet_1444,0.018855475
jet_3805,0.974357
jet_1593,0.0011674054
jet_1041,0.02888471
jet_1103,0.0034061447
jet_2119,-0.0019029453
jet_4231,0.8070659
jet_1626,0.009542365
jet_3543,0.91175604
jet_3918,0.9047346
jet_2859,-0.018251918
jet_3958,0.0732648
jet_4154,0.7499397
