n_clusters,max_cluster_pt,mean_cluster_pt,std_cluster_pt,max_cluster_size,mean_cluster_size,std_cluster_size,total_pt,max_cluster_eta,max_cluster_phi,mean_cluster_eta,mean_cluster_phi,cluster_pt_ratio,cluster_size_ratio
13,2.0,0.61531762778759,0.5399510107905553,2,2.0,0.0,7.99912916123867,0.5,0.7000000000000001,0.07692307692307693,0.3461538461538462,1.4702000671426827,1.0
10,2.0,0.7770203724503517,0.6011569281878347,2,2.0,0.0,7.770203724503517,0.2,0.5,0.1,0.23000000000000004,1.430784871382394,1.0
4,2.0,0.972717635333538,0.6069899833634058,2,2.0,0.0,3.890870541334152,0.1,0.1,0.05,0.05,2.5578816371786823,1.0
14,2.0,0.7463667722684997,0.48563649671302533,2,2.0,0.0,10.449134811758995,0.5,0.5,0.18571428571428572,0.28571428571428575,1.6240960594420992,1.0
6,2.0,0.5757601161797842,0.6390691673246188,2,2.0,0.0,3.454560697078705,0.1,0.1,0.05000000000000001,0.06666666666666667,4.988195963974968,1.0
7,2.0,0.8438368971858706,0.7295100201656247,2,2.0,0.0,5.906858280301094,0.1,0.4,0.05714285714285715,0.17142857142857146,1.0618189394491258,1.0
7,2.0,0.8797118940523693,0.5390114222031929,2,2.0,0.0,6.157983258366585,0.1,0.6000000000000001,0.042857142857142864,0.3285714285714286,1.6092164510697358,1.0
3,2.0,1.0195586482683818,0.7059001815959142,2,2.0,0.0,3.0586759448051453,0.1,0.1,0.03333333333333333,0.03333333333333333,2.889727741787023,1.0
7,2.0,0.8789225561278207,0.7155922931166875,2,2.0,0.0,6.152457892894745,0.2,0.6000000000000001,0.07142857142857142,0.15714285714285717,1.119498989781442,1.0
4,2.0,0.8648658320307732,0.6737865404016915,2,2.0,0.0,3.4594633281230927,0.1,0.1,0.05,0.05,2.854383566911014,1.0
4,2.0,0.8672823011875153,0.6785185925137572,2,2.0,0.0,3.469129204750061,0.1,0.1,0.07500000000000001,0.05,2.556623015269214,1.0
2,2.0,1.1833879798650742,0.8166120201349258,2,2.0,0.0,2.3667759597301483,0.1,0.0,0.05,0.0,5.452920091795219,1.0
3,2.0,1.2948159575462341,0.5062052972457394,2,2.0,0.0,3.8844478726387024,0.0,0.2,0.0,0.10000000000000002,1.906567681428995,1.0
5,2.0,0.7987993478775024,0.6099426718985844,2,2.0,0.0,3.993996739387512,0.2,0.8,0.06000000000000001,0.32,3.256337859772954,1.0
2,2.0,1.1256573051214218,0.8743426948785782,2,2.0,0.0,2.2513146102428436,0.0,0.1,0.0,0.05,7.9581525247076295,1.0
2,2.0,1.1308523565530777,0.8691476434469223,2,2.0,0.0,2.2617047131061554,0.0,0.1,0.0,0.05,7.6422009227962935,1.0
