size,price,is_house
2.297291420948028247e+02,4.975427359713469632e+06,0.000000000000000000e+00
2.169400447471785185e+02,4.986421174769422971e+06,0.000000000000000000e+00
2.338741747347710600e+02,4.959154636516586877e+06,0.000000000000000000e+00
1.529999655434007195e+02,4.271046522101967596e+06,0.000000000000000000e+00
2.112249986190395816e+02,4.840769855251977220e+06,0.000000000000000000e+00
2.142045502642183692e+02,5.032362123604551889e+06,0.000000000000000000e+00
1.595813048636804865e+02,4.344581440567571670e+06,0.000000000000000000e+00
1.497833438625241911e+02,4.500531419063044712e+06,0.000000000000000000e+00
1.075597890805603640e+02,3.753620742487567943e+06,0.000000000000000000e+00
1.005717455852040985e+02,3.543555182600848842e+06,0.000000000000000000e+00
1.476358727734488241e+02,3.982279213661108166e+06,0.000000000000000000e+00
1.606930187780288861e+02,4.713669530655384064e+06,0.000000000000000000e+00
1.378281676496916361e+02,4.120518053266096395e+06,0.000000000000000000e+00
1.068349202270778591e+02,3.738423250196251553e+06,0.000000000000000000e+00
2.383342730277376518e+02,5.019063556202720851e+06,0.000000000000000000e+00
1.350092838513724303e+02,4.074772885376453400e+06,0.000000000000000000e+00
2.240907309123460607e+02,4.933523733340933919e+06,0.000000000000000000e+00
1.697275790318771556e+02,4.534346375019452535e+06,0.000000000000000000e+00
1.005320133779712819e+02,3.839642115007083863e+06,0.000000000000000000e+00
7.213842707316788960e+01,2.998636320667194668e+06,0.000000000000000000e+00
1.789623484144366898e+02,4.491625259017681703e+06,0.000000000000000000e+00
1.955692183697745463e+02,4.627687659973624162e+06,0.000000000000000000e+00
2.379175794302726388e+02,4.618851792298630811e+06,0.000000000000000000e+00
1.626175453869200567e+02,4.255028833056554198e+06,0.000000000000000000e+00
5.563167048086834399e+01,2.477724523713615723e+06,0.000000000000000000e+00
3.486585633109973514e+02,6.120945706077964976e+06,1.000000000000000000e+00
3.065946518989059655e+02,6.081935310829368420e+06,1.000000000000000000e+00
2.749216836708043274e+02,5.799362178749143146e+06,1.000000000000000000e+00
1.671511539552890895e+02,4.662780642314175144e+06,1.000000000000000000e+00
1.813146877890350765e+02,4.866126030487909913e+06,1.000000000000000000e+00
2.496482779656460309e+02,5.669944429467015900e+06,1.000000000000000000e+00
2.511715309352327665e+02,5.580020046160967089e+06,1.000000000000000000e+00
3.381834048087472411e+02,6.116102646469138563e+06,1.000000000000000000e+00
1.844927546014499171e+02,5.298432246443160810e+06,1.000000000000000000e+00
2.151743935676695685e+02,5.428941384771354496e+06,1.000000000000000000e+00
3.063164274299175531e+02,6.162055358843302354e+06,1.000000000000000000e+00
1.602180435370228508e+02,4.854697761173493229e+06,1.000000000000000000e+00
2.318985312716725105e+02,5.804810715308616869e+06,1.000000000000000000e+00
2.264237419516865657e+02,5.542344153651215136e+06,1.000000000000000000e+00
1.793052118911010098e+02,5.093029057585888542e+06,1.000000000000000000e+00
1.007102419774892894e+02,3.902719073477461468e+06,1.000000000000000000e+00
1.487459917044944291e+02,4.760733422541144304e+06,1.000000000000000000e+00
1.911837953378724819e+02,5.239868069652019069e+06,1.000000000000000000e+00
1.073045895880918010e+02,4.028514465191959403e+06,1.000000000000000000e+00
1.300922302367951033e+02,4.409248563851966523e+06,1.000000000000000000e+00
1.593883034767953575e+02,4.975806878234136850e+06,1.000000000000000000e+00
2.149065254057829861e+02,5.337963368652273901e+06,1.000000000000000000e+00
1.093370405909718102e+02,4.017779789614867419e+06,1.000000000000000000e+00
2.189869860514515381e+02,5.256872014264211059e+06,1.000000000000000000e+00
1.023767433174548245e+02,4.078593383480255958e+06,1.000000000000000000e+00
